Date A,Date M,Date F
SNOUT,RUPEE,THOSE
TROPE,NASTY,MOIST
FEWER,MOURN,SHARD
SHAWL,AHEAD,PLEAT
NATAL,BRINE,ALOFT
COMMA,CLOTH,SKILL
FORAY,HOARD,ELDER
SCARE,SWEET,FRAME
STAIR,MONTH,HUMOR
BLACK,LAPSE,PAUSE
SQUAD,WATCH,ULCER
ROYAL,TODAY,ULTRA
CHUNK,FOCUS,ROBIN
MINCE,SMELT,CYNIC
SHAME,TEASE,AROMA
CHEEK,CATER,CAULK
AMPLE,MOVIE,SHAKE
FLAIR,SALUTE,DODGE
FOYER,ALLOW,SWILL
CARGO,RENEW,TACIT
OXIDE,THEIR,OTHER
PLANT,SLOSH,THORN
OLIVE,PURGE,TROVE
INSERT,CHEST,BLOKE
ASKEW,DEPOT,VIVID
,EPOXY,SPILL
,NYMPH,CHANT
,FOUND,CHOKE
,SHALL,
,STOVE,
,LOWLY,
